grid,alt,average_lap_time,minimum_lap_time,PRCP,TAVG,TMAX,TMIN,country_CompletionStatus_1,nationality_CompletionStatus_1,binned_circuits_CompletionStatus_1,trackType_CompletionStatus_1,country_CompletionStatus_2,nationality_CompletionStatus_2,binned_circuits_CompletionStatus_2,trackType_CompletionStatus_2
2,264,93171.89855072463,85149,0.0,74.0,80.0,67.0,0.2294455066921606,0.20956576463184395,0.2534509202453988,0.2372434830837493,0.7705544933078394,0.7904342353681558,0.7465490797546013,0.7627565169162507
5,583,109203.8,89084,0.53,62.0,68.0,60.0,0.21703853955375252,0.20956576463184395,0.2235294117647059,0.2372434830837493,0.7829614604462475,0.7904342353681558,0.7764705882352941,0.7627565169162507
15,0,109045.31481481482,102549,0.0,62.0,68.0,56.0,0.1935483870967742,0.292358803986711,0.2235294117647059,0.2372434830837493,0.8064516129032258,0.7076411960132891,0.7764705882352941,0.7627565169162507
17,109,88682.73846153848,85728,0.03,61.0,68.0,53.0,0.2196969696969697,0.292358803986711,0.2534509202453988,0.2372434830837493,0.7803030303030303,0.7076411960132891,0.7465490797546013,0.7627565169162507
11,7,98000.1052631579,95520,0.0,86.0,99.0,77.0,0.1771117166212534,0.2063694267515924,0.23568649249583104,0.2372434830837493,0.8228882833787466,0.7936305732484077,0.7643135075041689,0.7627565169162507
15,103,78717.0303030303,76528,0.18,66.0,80.0,51.0,0.2914285714285714,0.292358803986711,0.23568649249583104,0.2372434830837493,0.7085714285714285,0.7076411960132891,0.7643135075041689,0.7627565169162507
20,18,107682.27272727274,101467,0.0,85.0,94.0,77.0,0.2607594936708861,0.2583941605839416,0.23568649249583104,0.2372434830837493,0.739240506329114,0.7416058394160584,0.7643135075041689,0.7627565169162507
7,2,105108.67924528301,102179,0.0,57.0,78.0,42.0,0.11363636363636365,0.23113964686998395,0.21361058601134214,0.2372434830837493,0.8863636363636364,0.7688603531300161,0.7863894139886578,0.7627565169162507
16,264,89830.66176470587,86061,0.38,80.0,93.0,66.0,0.2294455066921606,0.2583941605839416,0.2534509202453988,0.2372434830837493,0.7705544933078394,0.7416058394160584,0.7465490797546013,0.7627565169162507
2,785,74029.05633802817,70831,0.0,78.0,86.0,70.0,0.2612244897959184,0.20956576463184395,0.2775876817792985,0.2372434830837493,0.7387755102040816,0.7904342353681558,0.7224123182207014,0.7627565169162507
14,45,98096.57692307694,95261,0.16,74.0,85.0,65.0,0.21703853955375252,0.2960526315789473,0.2775876817792985,0.2372434830837493,0.7829614604462475,0.7039473684210527,0.7224123182207014,0.7627565169162507
13,10,98040.18965517242,90620,0.0,66.6,72.0,61.2,0.35181236673773986,0.3613707165109034,0.2775876817792985,0.2870452528837622,0.6481876332622601,0.6386292834890965,0.7224123182207014,0.7129547471162379
20,223,83074.76712328767,71187,0.0,61.0,71.0,50.0,0.2532894736842105,0.31784107946026985,0.21361058601134214,0.2372434830837493,0.7467105263157895,0.6821589205397302,0.7863894139886578,0.7627565169162507
6,18,127799.03448275865,105405,0.0,83.0,91.0,75.0,0.2191235059760956,0.2063694267515924,0.24474959612277866,0.2870452528837622,0.7808764940239044,0.7936305732484077,0.7552504038772213,0.7129547471162379
1,162,84314.32075471699,81828,0.02,79.0,86.0,71.0,0.27909887359199,0.33695652173913043,0.2534509202453988,0.2372434830837493,0.72090112640801,0.6630434782608695,0.7465490797546013,0.7627565169162507
14,10,100556.30769230767,90855,0.0,66.6,72.0,61.2,0.35181236673773986,0.292358803986711,0.2775876817792985,0.2870452528837622,0.6481876332622601,0.7076411960132891,0.7224123182207014,0.7129547471162379
13,578,97769.76666666666,94238,0.0,63.0,72.0,54.0,0.2914285714285714,0.3613707165109034,0.23568649249583104,0.2372434830837493,0.7085714285714285,0.6386292834890965,0.7643135075041689,0.7627565169162507
8,7,78715.28571428571,76006,0.61,53.0,60.0,49.0,0.3515625,0.15463917525773194,0.2534509202453988,0.2870452528837622,0.6484375,0.8453608247422679,0.7465490797546013,0.7129547471162379
7,401,115283.75,107736,0.0,60.0,70.0,51.0,0.23008849557522126,0.20956576463184395,0.2775876817792985,0.2372434830837493,0.7699115044247787,0.7904342353681558,0.7224123182207014,0.7627565169162507
3,130,89883.27586206899,86529,0.15,60.0,66.0,54.0,0.15976331360946747,0.2408376963350785,0.21361058601134214,0.2372434830837493,0.8402366863905325,0.7591623036649214,0.7863894139886578,0.7627565169162507
11,13,83243.91428571429,79087,0.0,62.0,71.0,56.0,0.3347368421052632,0.20956576463184395,0.2775876817792985,0.2870452528837622,0.6652631578947369,0.7904342353681558,0.7224123182207014,0.7129547471162379
19,2227,83477.57142857142,80972,0.0,55.0,71.0,36.0,0.1485148514851485,0.16666666666666666,0.21361058601134214,0.2372434830837493,0.8514851485148515,0.8333333333333334,0.7863894139886578,0.7627565169162507
13,130,111009.36363636363,100948,0.06,55.0,61.0,49.0,0.15976331360946747,0.2620689655172414,0.21361058601134214,0.2372434830837493,0.8402366863905325,0.7379310344827587,0.7863894139886578,0.7627565169162507
17,7,98884.92857142855,95093,0.0,79.0,87.0,71.0,0.1771117166212534,0.2395833333333333,0.23568649249583104,0.2372434830837493,0.8228882833787466,0.7604166666666666,0.7643135075041689,0.7627565169162507
10,153,111014.84615384617,97900,0.0,67.0,70.0,63.0,0.22033898305084745,0.1484375,0.2534509202453988,0.2372434830837493,0.7796610169491526,0.8515625,0.7465490797546013,0.7627565169162507
1,678,69562.32394366198,68017,0.0,72.0,82.0,62.0,0.2719298245614035,0.31690140845070425,0.24474959612277866,0.2372434830837493,0.7280701754385965,0.6830985915492958,0.7552504038772213,0.7627565169162507
17,264,84950.88235294117,83134,0.0,71.0,80.0,62.0,0.2294455066921606,0.31784107946026985,0.2534509202453988,0.2372434830837493,0.7705544933078394,0.6821589205397302,0.7465490797546013,0.7627565169162507
6,162,90157.81132075473,83908,0.0,69.0,76.0,61.0,0.27909887359199,0.15463917525773194,0.2534509202453988,0.2372434830837493,0.72090112640801,0.8453608247422679,0.7465490797546013,0.7627565169162507
7,7,84274.78205128205,79657,0.0,62.0,74.0,50.0,0.3515625,0.1484375,0.2534509202453988,0.2870452528837622,0.6484375,0.8515625,0.7465490797546013,0.7129547471162379
12,264,87980.26086956523,82811,0.0,76.0,84.0,67.0,0.2294455066921606,0.292358803986711,0.2534509202453988,0.2372434830837493,0.7705544933078394,0.7076411960132891,0.7465490797546013,0.7627565169162507
5,7,95144.7894736842,92771,0.0,66.0,73.0,59.0,0.1771117166212534,0.33695652173913043,0.23568649249583104,0.2372434830837493,0.8228882833787466,0.6630434782608695,0.7643135075041689,0.7627565169162507
6,18,118311.62295081967,110509,0.0,85.0,90.0,80.0,0.2191235059760956,0.292358803986711,0.24474959612277866,0.2870452528837622,0.7808764940239044,0.7076411960132891,0.7552504038772213,0.7129547471162379
6,162,86200.54716981133,83897,0.0,71.0,80.0,62.0,0.27909887359199,0.20956576463184395,0.2534509202453988,0.2372434830837493,0.72090112640801,0.7904342353681558,0.7465490797546013,0.7627565169162507
14,45,103610.58490566038,94486,0.94,71.0,80.0,65.0,0.21703853955375252,0.3613707165109034,0.2775876817792985,0.2372434830837493,0.7829614604462475,0.6386292834890965,0.7224123182207014,0.7627565169162507
15,18,118652.45901639346,109656,0.0,85.0,90.0,80.0,0.2191235059760956,0.20956576463184395,0.24474959612277866,0.2870452528837622,0.7808764940239044,0.7904342353681558,0.7552504038772213,0.7129547471162379
22,162,93444.21568627447,90280,0.0,71.0,80.0,62.0,0.27909887359199,0.2395833333333333,0.2534509202453988,0.2372434830837493,0.72090112640801,0.7604166666666666,0.7465490797546013,0.7627565169162507
4,7,79396.58974358975,76392,0.0,65.0,75.0,56.0,0.3515625,0.2063694267515924,0.2534509202453988,0.2870452528837622,0.6484375,0.7936305732484077,0.7465490797546013,0.7129547471162379
14,3,116040.16363636365,105693,0.0,81.0,92.0,71.0,0.12,0.292358803986711,0.24474959612277866,0.2372434830837493,0.88,0.7076411960132891,0.7552504038772213,0.7627565169162507
7,401,116139.95454545454,108781,0.0,62.0,69.0,55.0,0.23008849557522126,0.1484375,0.2775876817792985,0.2372434830837493,0.7699115044247787,0.8515625,0.7224123182207014,0.7627565169162507
9,153,85106.68333333332,80768,0.0,58.0,64.0,51.0,0.22033898305084745,0.20935960591133004,0.2534509202453988,0.2372434830837493,0.7796610169491526,0.7906403940886699,0.7465490797546013,0.7627565169162507
16,7,94175.98245614037,90654,0.0,78.0,90.0,72.0,0.1771117166212534,0.23113964686998395,0.23568649249583104,0.2372434830837493,0.8228882833787466,0.7688603531300161,0.7643135075041689,0.7627565169162507
16,153,104318.92156862744,89973,0.0,66.0,77.0,54.0,0.22033898305084745,0.2063694267515924,0.2534509202453988,0.2372434830837493,0.7796610169491526,0.7936305732484077,0.7465490797546013,0.7627565169162507
10,162,85884.6603773585,82889,0.16,71.0,76.0,66.0,0.27909887359199,0.2408376963350785,0.2534509202453988,0.2372434830837493,0.72090112640801,0.7591623036649214,0.7465490797546013,0.7627565169162507
10,161,102442.03636363636,100131,0.69,68.0,80.0,55.0,0.2532894736842105,0.292358803986711,0.21361058601134214,0.2372434830837493,0.7467105263157895,0.7076411960132891,0.7863894139886578,0.7627565169162507
15,3,103874.56363636363,100757,0.0,83.0,98.0,70.0,0.12,0.23113964686998395,0.24474959612277866,0.2372434830837493,0.88,0.7688603531300161,0.7552504038772213,0.7627565169162507
21,18,100990.71428571428,97784,0.0,86.0,96.0,77.0,0.2607594936708861,0.292358803986711,0.23568649249583104,0.2372434830837493,0.739240506329114,0.7076411960132891,0.7643135075041689,0.7627565169162507
10,578,94188.01694915254,91503,0.0,76.0,86.0,66.0,0.2914285714285714,0.20956576463184395,0.23568649249583104,0.2372434830837493,0.7085714285714285,0.7904342353681558,0.7643135075041689,0.7627565169162507
3,109,90831.34848484848,87036,0.0,63.0,67.0,58.0,0.2196969696969697,0.20956576463184395,0.2534509202453988,0.2372434830837493,0.7803030303030303,0.7904342353681558,0.7465490797546013,0.7627565169162507
12,103,77324.63636363638,75045,0.1,66.0,77.0,55.0,0.2914285714285714,0.2960526315789473,0.23568649249583104,0.2372434830837493,0.7085714285714285,0.7039473684210527,0.7643135075041689,0.7627565169162507
13,432,101218.57692307694,98702,0.53,62.0,71.0,57.0,0.25609756097560976,0.31784107946026985,0.2235294117647059,0.2372434830837493,0.7439024390243902,0.6821589205397302,0.7764705882352941,0.7627565169162507
21,109,94998.87692307694,91182,0.0,65.0,73.0,59.0,0.2196969696969697,0.20956576463184395,0.2534509202453988,0.2372434830837493,0.7803030303030303,0.7904342353681558,0.7465490797546013,0.7627565169162507
20,18,97118.78571428572,94080,0.26,80.0,88.0,72.0,0.2607594936708861,0.20956576463184395,0.23568649249583104,0.2372434830837493,0.739240506329114,0.7904342353681558,0.7643135075041689,0.7627565169162507
10,223,76448.36111111111,74009,0.0,78.0,91.0,65.0,0.2532894736842105,0.31784107946026985,0.21361058601134214,0.2372434830837493,0.7467105263157895,0.6821589205397302,0.7863894139886578,0.7627565169162507
11,18,98845.83928571428,96585,0.0,85.0,96.0,76.0,0.2607594936708861,0.33695652173913043,0.23568649249583104,0.2372434830837493,0.739240506329114,0.6630434782608695,0.7643135075041689,0.7627565169162507
20,45,107890.03921568627,101794,0.0,67.0,78.0,54.0,0.21703853955375252,0.16666666666666666,0.2775876817792985,0.2372434830837493,0.7829614604462475,0.8333333333333334,0.7224123182207014,0.7627565169162507
18,678,70622.1,68777,0.0,77.0,85.0,64.0,0.2719298245614035,0.2788104089219331,0.24474959612277866,0.2372434830837493,0.7280701754385965,0.7211895910780669,0.7552504038772213,0.7627565169162507
13,130,88168.24137931035,85790,0.0,79.0,88.0,71.0,0.15976331360946747,0.2408376963350785,0.21361058601134214,0.2372434830837493,0.8402366863905325,0.7591623036649214,0.7863894139886578,0.7627565169162507
17,13,210616.34285714285,80369,0.0,57.0,66.0,44.0,0.3347368421052632,0.23113964686998395,0.2775876817792985,0.2870452528837622,0.6652631578947369,0.7688603531300161,0.7224123182207014,0.7129547471162379
0,678,71565.97142857143,68047,0.0,62.0,72.0,55.0,0.2719298245614035,0.2583941605839416,0.24474959612277866,0.2372434830837493,0.7280701754385965,0.7416058394160584,0.7552504038772213,0.7627565169162507
9,45,101940.47169811321,93133,0.0,70.0,78.0,62.0,0.21703853955375252,0.292358803986711,0.2775876817792985,0.2372434830837493,0.7829614604462475,0.7076411960132891,0.7224123182207014,0.7627565169162507
2,578,126439.3,93231,0.0,65.0,75.0,55.0,0.2914285714285714,0.23113964686998395,0.23568649249583104,0.2372434830837493,0.7085714285714285,0.7688603531300161,0.7643135075041689,0.7627565169162507
11,153,85283.38333333332,80434,0.0,58.0,64.0,51.0,0.22033898305084745,0.23113964686998395,0.2534509202453988,0.2372434830837493,0.7796610169491526,0.7688603531300161,0.7465490797546013,0.7627565169162507
6,5,106782.625,101546,0.0,63.0,69.0,57.0,0.1543026706231454,0.17616580310880828,0.23568649249583104,0.2870452528837622,0.8456973293768546,0.8238341968911918,0.7643135075041689,0.7129547471162379
4,2227,83467.14084507043,79522,0.0,56.0,65.0,45.0,0.1485148514851485,0.20956576463184395,0.21361058601134214,0.2372434830837493,0.8514851485148515,0.7904342353681558,0.7863894139886578,0.7627565169162507
15,13,80011.02898550725,76942,1.18,62.0,69.0,58.0,0.3347368421052632,0.17616580310880828,0.2775876817792985,0.2870452528837622,0.6652631578947369,0.8238341968911918,0.7224123182207014,0.7129547471162379
8,785,78720.37142857142,73625,0.28,78.0,86.0,69.0,0.2612244897959184,0.23113964686998395,0.2775876817792985,0.2372434830837493,0.7387755102040816,0.7688603531300161,0.7224123182207014,0.7627565169162507
10,37,117563.60317460318,78994,1.02,49.0,60.0,42.0,0.27909887359199,0.2788104089219331,0.24474959612277866,0.2372434830837493,0.72090112640801,0.7211895910780669,0.7552504038772213,0.7627565169162507
10,109,80015.6,77869,0.0,64.0,78.0,57.0,0.2196969696969697,0.20956576463184395,0.2534509202453988,0.2372434830837493,0.7803030303030303,0.7904342353681558,0.7465490797546013,0.7627565169162507
19,578,103013.94736842104,99982,0.11,57.0,61.0,53.0,0.2914285714285714,0.20956576463184395,0.23568649249583104,0.2372434830837493,0.7085714285714285,0.7904342353681558,0.7643135075041689,0.7627565169162507
5,18,122735.10169491525,112709,0.0,83.0,90.0,78.0,0.2191235059760956,0.23113964686998395,0.24474959612277866,0.2870452528837622,0.7808764940239044,0.7688603531300161,0.7552504038772213,0.7129547471162379
18,2227,87089.62857142858,83618,0.0,55.0,72.0,38.0,0.1485148514851485,0.17616580310880828,0.21361058601134214,0.2372434830837493,0.8514851485148515,0.8238341968911918,0.7863894139886578,0.7627565169162507
18,2,100483.62264150943,96345,0.0,88.8,96.0,81.6,0.11363636363636365,0.20935960591133004,0.21361058601134214,0.2372434830837493,0.8863636363636364,0.7906403940886699,0.7863894139886578,0.7627565169162507
9,109,93629.62121212123,89801,0.0,65.0,73.0,59.0,0.2196969696969697,0.1484375,0.2534509202453988,0.2372434830837493,0.7803030303030303,0.8515625,0.7465490797546013,0.7627565169162507
12,153,85318.86206896552,83118,0.02,58.0,70.0,45.0,0.22033898305084745,0.2408376963350785,0.2534509202453988,0.2372434830837493,0.7796610169491526,0.7591623036649214,0.7465490797546013,0.7627565169162507
18,401,117645.74418604652,108956,0.0,58.0,65.0,48.0,0.23008849557522126,0.16666666666666666,0.2775876817792985,0.2372434830837493,0.7699115044247787,0.8333333333333334,0.7224123182207014,0.7627565169162507
20,785,79155.44285714286,76519,0.0,81.0,89.0,73.0,0.2612244897959184,0.23113964686998395,0.2775876817792985,0.2372434830837493,0.7387755102040816,0.7688603531300161,0.7224123182207014,0.7627565169162507
16,7,101423.85714285713,78832,0.0,59.0,74.0,42.0,0.3515625,0.2692307692307692,0.2534509202453988,0.2870452528837622,0.6484375,0.7307692307692307,0.7465490797546013,0.7129547471162379
1,45,100683.81132075473,95774,0.12,66.0,77.0,55.0,0.21703853955375252,0.20956576463184395,0.2775876817792985,0.2372434830837493,0.7829614604462475,0.7904342353681558,0.7224123182207014,0.7627565169162507
