raceId,year,round,circuitId,name,date,time,url,Circuit Location,Circuit Country,PRCP,TAVG,TMAX,TMIN
158,2000,1,1,Australian Grand Prix,3/12/2000,,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix,Melbourne,Australia,0,,70,
175,1999,1,1,Australian Grand Prix,3/7/1999,,http://en.wikipedia.org/wiki/1999_Australian_Grand_Prix,Melbourne,Australia,0,,70,
191,1998,1,1,Australian Grand Prix,3/8/1998,,http://en.wikipedia.org/wiki/1998_Australian_Grand_Prix,Melbourne,Australia,0,,70,
207,1997,1,1,Australian Grand Prix,3/9/1997,,http://en.wikipedia.org/wiki/1997_Australian_Grand_Prix,Melbourne,Australia,0,,70,
224,1996,1,1,Australian Grand Prix,3/10/1996,,http://en.wikipedia.org/wiki/1996_Australian_Grand_Prix,Melbourne,Australia,0,,70,
338,2010,2,1,Australian Grand Prix,3/28/2010,6:00:00,http://en.wikipedia.org/wiki/2010_Australian_Grand_Prix,Melbourne,Australia,0,,80,
841,2011,1,1,Australian Grand Prix,3/27/2011,6:00:00,http://en.wikipedia.org/wiki/2011_Australian_Grand_Prix,Melbourne,Australia,0,,67,
860,2012,1,1,Australian Grand Prix,3/18/2012,6:00:00,http://en.wikipedia.org/wiki/2012_Australian_Grand_Prix,Melbourne,Australia,0,,72,
880,2013,1,1,Australian Grand Prix,3/17/2013,6:00:00,http://en.wikipedia.org/wiki/2013_Australian_Grand_Prix,Melbourne,Australia,1.21,,64,
900,2014,1,1,Australian Grand Prix,3/16/2014,6:00:00,https://en.wikipedia.org/wiki/2014_Australian_Grand_Prix,Melbourne,Australia,0.18,,72,
926,2015,1,1,Australian Grand Prix,3/15/2015,5:00:00,http://en.wikipedia.org/wiki/2015_Australian_Grand_Prix,Melbourne,Australia,0.07,,66,
948,2016,1,1,Australian Grand Prix,3/20/2016,5:00:00,https://en.wikipedia.org/wiki/2016_Australian_Grand_Prix,Melbourne,Australia,0,,72,
969,2017,1,1,Australian Grand Prix,3/26/2017,5:00:00,https://en.wikipedia.org/wiki/2017_Australian_Grand_Prix,Melbourne,Australia,0.15,,79,
