STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-02-11,0,66
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-02-12,0,68
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-02-13,0,71
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-02-14,0,83
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-02-15,0.15,80
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-02-16,0.03,79
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-02-17,0.12,73
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-02-18,1.26,84
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-02-19,0.32,68
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-02-20,0.01,66
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-02-21,0,70
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-02-22,0,71
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-02-23,0,89
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-02-24,0.1,78
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-02-25,0.02,99
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-02-26,0.16,98
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-02-27,0,69
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-02-28,0,68
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-01,0,76
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-02,0,77
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-03,0,89
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-04,0,78
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-05,0,74
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-06,0,70
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-07,0,71
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-08,0,81
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-09,0,75
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-10,0,69
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-11,0,87
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-12,0,87
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-13,0.42,65
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-14,0.09,66
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-15,0.03,78
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-16,0,85
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-17,0.58,65
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-18,0.76,62
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-19,0.08,66
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-20,0.14,74
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-21,0,68
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-22,0,67
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-23,0.25,63
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-24,0.03,63
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-25,0.08,62
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-26,0,68
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-27,0,84
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-28,0,80
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-29,0.01,64
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-30,0,62
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-03-31,0.26,60
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-01,0.11,60
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-02,0.02,65
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-03,0.02,64
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-04,1.2,67
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-05,0.03,63
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-06,0.03,74
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-07,0.52,74
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-08,0.1,68
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-09,0,65
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-10,0.04,58
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-11,0,60
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-12,0,61
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-13,0,58
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-14,0,67
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-15,0,74
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-16,0,75
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-17,0,73
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-18,0,63
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-19,0,59
