raceId,driverId,constructorId,grid,position,positionOrder,laps,fastestLap,rank,fastestLapSpeed,familyStatus,CompletionStatus,year,circuitId,alt,isHistoric,trackType,total_lap_time,average_lap_time,minimum_lap_time,PRCP,TAVG,TMAX,TMIN,positionText_CompletionStatus_1,country_CompletionStatus_1,nationality_CompletionStatus_1,bundled_circuitId_CompletionStatus_1,binned_circuits_CompletionStatus_1,positionText_CompletionStatus_2,country_CompletionStatus_2,nationality_CompletionStatus_2,bundled_circuitId_CompletionStatus_2,binned_circuits_CompletionStatus_2
1,1,1,18,,20,58,39.0,13.0,214.455,3,0,2009,1,10,0,2,5658698,97563.75862068962,89020,0.0,72.0,78.0,66.0,1.0,0.35181236673773986,0.24083769633507854,0.25073157754722003,0.27758768177929855,0.0,0.6481876332622601,0.7591623036649214,0.74926842245278,0.7224123182207014
1,2,2,9,10.0,10,58,48.0,5.0,216.245,4,1,2009,1,10,0,2,5662869,97635.6724137931,88283,0.0,72.0,78.0,66.0,0.03131991051454139,0.35181236673773986,0.20956576463184393,0.25073157754722003,0.27758768177929855,0.9686800894854586,0.6481876332622601,0.790434235368156,0.74926842245278,0.7224123182207014
1,3,3,5,6.0,6,58,48.0,1.0,217.668,4,1,2009,1,10,0,2,5661506,97612.1724137931,87706,0.0,72.0,78.0,66.0,0.0021645021645021645,0.35181236673773986,0.20956576463184393,0.25073157754722003,0.27758768177929855,0.9978354978354979,0.6481876332622601,0.790434235368156,0.74926842245278,0.7224123182207014
1,4,4,10,5.0,5,58,53.0,9.0,215.199,4,1,2009,1,10,0,2,5660663,97597.63793103448,88712,0.0,72.0,78.0,66.0,0.0021598272138228943,0.35181236673773986,0.23113964686998395,0.25073157754722003,0.27758768177929855,0.9978401727861771,0.6481876332622601,0.7688603531300161,0.74926842245278,0.7224123182207014
1,6,3,11,,18,17,6.0,18.0,212.301,1,0,2009,1,10,0,2,1560978,91822.23529411764,89923,0.0,72.0,78.0,66.0,0.9976325757575758,0.35181236673773986,0.3613707165109034,0.25073157754722003,0.27758768177929855,0.0023674242424242425,0.6481876332622601,0.6386292834890965,0.74926842245278,0.7224123182207014
1,7,5,17,8.0,8,58,50.0,17.0,212.537,4,1,2009,1,10,0,2,5662082,97622.10344827586,89823,0.0,72.0,78.0,66.0,0.008714596949891068,0.35181236673773986,0.2583941605839416,0.25073157754722003,0.27758768177929855,0.9912854030501089,0.6481876332622601,0.7416058394160584,0.74926842245278,0.7224123182207014
1,8,6,7,15.0,15,55,35.0,7.0,215.74400000000003,6,0,2009,1,10,0,2,5339301,97078.2,88488,0.0,72.0,78.0,66.0,0.0759493670886076,0.35181236673773986,0.20636942675159237,0.25073157754722003,0.27758768177929855,0.9240506329113924,0.6481876332622601,0.7936305732484077,0.74926842245278,0.7224123182207014
1,9,2,4,14.0,14,55,36.0,2.0,216.97,2,0,2009,1,10,0,2,5233838,95160.6909090909,87988,0.0,72.0,78.0,66.0,0.04093567251461988,0.35181236673773986,0.15463917525773196,0.25073157754722003,0.27758768177929855,0.9590643274853801,0.6481876332622601,0.845360824742268,0.74926842245278,0.7224123182207014
1,10,7,19,4.0,4,58,53.0,6.0,215.92,4,1,2009,1,10,0,2,5660219,97589.98275862071,88416,0.0,72.0,78.0,66.0,0.0021598272138228943,0.35181236673773986,0.20956576463184393,0.25073157754722003,0.27758768177929855,0.9978401727861771,0.6481876332622601,0.790434235368156,0.74926842245278,0.7224123182207014
1,12,4,14,,17,24,17.0,19.0,210.94299999999998,1,0,2009,1,10,0,2,2442374,101765.58333333331,90502,0.0,72.0,78.0,66.0,0.9976325757575758,0.35181236673773986,0.292358803986711,0.25073157754722003,0.27758768177929855,0.0023674242424242425,0.6481876332622601,0.707641196013289,0.74926842245278,0.7224123182207014
1,13,6,6,,16,45,30.0,15.0,214.16400000000002,3,0,2009,1,10,0,2,4365106,97002.35555555556,89141,0.0,72.0,78.0,66.0,0.9976325757575758,0.35181236673773986,0.292358803986711,0.25073157754722003,0.27758768177929855,0.0023674242424242425,0.6481876332622601,0.707641196013289,0.74926842245278,0.7224123182207014
1,15,7,20,3.0,3,58,50.0,10.0,214.706,4,1,2009,1,10,0,2,5657388,97541.1724137931,88916,0.0,72.0,78.0,66.0,0.0021598272138228943,0.35181236673773986,0.31784107946026985,0.25073157754722003,0.27758768177929855,0.9978401727861771,0.6481876332622601,0.6821589205397302,0.74926842245278,0.7224123182207014
1,16,10,16,9.0,9,58,43.0,11.0,214.64,4,1,2009,1,10,0,2,5662119,97622.74137931038,88943,0.0,72.0,78.0,66.0,0.015384615384615385,0.35181236673773986,0.20956576463184393,0.25073157754722003,0.27758768177929855,0.9846153846153847,0.6481876332622601,0.790434235368156,0.74926842245278,0.7224123182207014
1,17,9,8,12.0,12,57,38.0,8.0,215.695,4,1,2009,1,10,0,2,5656197,99231.52631578947,88508,0.0,72.0,78.0,66.0,0.03722084367245657,0.35181236673773986,0.20935960591133004,0.25073157754722003,0.27758768177929855,0.9627791563275434,0.6481876332622601,0.7906403940886699,0.74926842245278,0.7224123182207014
1,18,23,1,1.0,1,58,17.0,3.0,216.891,4,1,2009,1,10,0,2,5655784,97513.51724137929,88020,0.0,72.0,78.0,66.0,0.0,0.35181236673773986,0.24083769633507854,0.25073157754722003,0.27758768177929855,1.0,0.6481876332622601,0.7591623036649214,0.74926842245278,0.7224123182207014
