raceId,driverId,CompletionStatus,alt,grid,trackType,average_lap_time,minimum_lap_time,year,PRCP,TAVG,isHistoric,oneHot_circuits_1,oneHot_circuits_2,oneHot_circuits_3,oneHot_circuits_4,oneHot_circuits_5,oneHot_circuits_6,alt_trans,PRCP_trans,normalized_minLapTime,normalized_avgLapTime
1,2,1,10,9,1,97635.6724137931,88283,2009,0.0,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,0.9941324886448619,0.0029581057123007695
1,3,1,10,5,1,97612.1724137931,87706,2009,0.0,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,0.9876350378791642,0.002717386024621486
1,4,1,10,10,1,97597.63793103448,88712,2009,0.0,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,0.9989633489195313,0.002568474627598939
1,6,0,10,11,1,91822.23529411764,89923,2009,0.0,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,1.0126001130049038,-0.05843033414218774
1,7,1,10,17,1,97622.10344827586,89823,2009,0.0,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,1.0114740383488037,0.00281912056326697
1,8,0,10,7,1,97078.2,88488,2009,0.0,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,0.9964409416898671,-0.0027679776949408107
1,9,0,10,4,1,95160.6909090909,87988,2009,0.0,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,0.9908105684093665,-0.022717871064836838
1,10,1,10,19,1,97589.98275862071,88416,2009,0.0,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,0.995630167937475,0.0024900355094759886
1,12,0,10,14,1,101765.58333333331,90502,2009,0.0,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,1.0191200852637234,0.04438714877681019
1,15,1,10,20,1,97541.1724137931,88916,2009,0.0,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,1.0012605412179756,0.0019897530630106903
1,16,1,10,16,1,97622.74137931038,88943,2009,0.0,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,1.0015645813751226,0.0028256552406367543
1,17,1,10,8,1,99231.52631578947,88508,2009,0.0,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,0.9966661566210872,0.01917095243173957
1,18,1,10,1,1,97513.51724137929,88020,2009,0.0,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,0.9911709122993185,0.0017061897952109857
1,20,0,10,3,1,96325.44642857145,88140,2009,0.0,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,0.9925222018866388,-0.010552291863277002
1,21,1,10,15,1,97640.65517241381,89005,2009,0.0,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,1.0022627476619046,0.0030091386120217802
1,22,1,10,2,1,97527.43103448275,89066,2009,0.0,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,1.0029496532021258,0.0018488654051284647
1,67,1,10,13,1,97617.03448275864,89230,2009,0.0,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,1.00479641563813,0.0027671948523457913
2,1,1,18,12,0,109398.54838709676,99141,2009,2.46,80.0,0,0,0,1,0,0,0,3.258096538021482,1.2412685890696329,0.9923516895243223,-0.009340645262729702
2,2,1,18,10,0,108172.3870967742,99084,2009,2.46,80.0,0,0,0,1,0,0,0,3.258096538021482,1.2412685890696329,0.9917811481105492,-0.020612134896130733
2,3,1,18,4,0,109748.32258064515,97598,2009,2.46,80.0,0,0,0,1,0,0,0,3.258096538021482,1.2412685890696329,0.9769070333584976,-0.006148498470812924
2,4,1,18,9,0,110969.16129032258,99006,2009,2.46,80.0,0,0,0,1,0,0,0,3.258096538021482,1.2412685890696329,0.9910004072285438,0.004914070192113056
2,6,1,18,11,0,111185.54838709676,99387,2009,2.46,80.0,0,0,0,1,0,0,0,3.258096538021482,1.2412685890696329,0.9948140261521855,0.006862146517128321
2,7,1,18,15,0,110735.03225806453,99242,2009,2.46,80.0,0,0,0,1,0,0,0,3.258096538021482,1.2412685890696329,0.9933626488715345,0.0028019845743677847
2,8,1,18,7,0,112047.19354838708,98453,2009,2.46,80.0,0,0,0,1,0,0,0,3.258096538021482,1.2412685890696329,0.9854651545650952,0.014581887204961968
2,9,0,18,6,0,122738.0,122738,2009,2.46,80.0,0,0,0,1,0,0,0,3.258096538021482,1.2412685890696329,0.995628475361378,0.1057137359156483
2,10,1,18,3,0,108197.90322580644,99406,2009,2.46,80.0,0,0,0,1,0,0,0,3.258096538021482,1.2412685890696329,0.9950042066234432,-0.020376278770851356
2,12,1,18,17,0,111204.35483870967,99268,2009,2.46,80.0,0,0,0,1,0,0,0,3.258096538021482,1.2412685890696329,0.9936228958322029,0.0070312769622155125
2,13,1,18,16,0,109921.09677419356,99250,2009,2.46,80.0,0,0,0,1,0,0,0,3.258096538021482,1.2412685890696329,0.9934427248594324,-0.004575459950634821
2,15,1,18,2,0,108928.87096774194,97591,2009,2.46,80.0,0,0,0,1,0,0,0,3.258096538021482,1.2412685890696329,0.9768369668690868,-0.01364315701579149
2,16,1,18,19,0,111947.53333333334,99464,2009,2.46,80.0,0,0,0,1,0,0,0,3.258096538021482,1.2412685890696329,0.9955847575357036,0.013692042849987797
2,17,1,18,5,0,109127.58064516127,97672,2009,2.46,80.0,0,0,0,1,0,0,0,3.258096538021482,1.2412685890696329,0.977647736246554,-0.011820603902099918
2,18,1,18,1,0,107439.41935483873,96641,2009,2.46,80.0,0,0,0,1,0,0,0,3.258096538021482,1.2412685890696329,0.9673279433062005,-0.027411118472408597
