raceId,driverId,constructorId,grid,position,positionText,positionOrder,laps,fastestLap,rank,fastestLapSpeed,familyStatus,Completion Status,year,circuitId,country,alt,isHistoric,trackType,nationality,total_lap_time,average_lap_time,minimum_lap_time
3,8,6,8,10,10,10,56,38,15,170.054,4,1,2009,17,China,5,0,2,Finnish,7155235,127772.0536,115396
3,9,2,17,13,13,13,56,44,14,170.122,4,1,2009,17,China,5,0,2,Polish,7170338,128041.75,115350
3,10,7,19,7,7,7,56,42,3,174.117,4,1,2009,17,China,5,0,2,German,7137961,127463.5893,112703
3,12,4,16,16,16,16,54,42,16,169.849,4,1,2009,17,China,5,0,2,Brazilian,7096406,131414.9259,115535
3,13,6,13,,R,19,20,16,19,168.466,6,0,2009,17,China,5,0,2,Brazilian,2792964,139648.2,116484
3,15,7,6,,R,20,18,14,20,163.081,2,0,2009,17,China,5,0,2,Italian,2682841,149046.7222,120330
3,16,10,18,17,17,17,50,41,13,170.971,1,0,2009,17,China,5,0,2,German,6431887,128637.74,114777
3,17,9,3,2,2,2,56,42,4,173.69,4,1,2009,17,China,5,0,2,Australian,7074455,126329.5536,112980
3,18,23,5,3,3,3,56,44,6,172.825,4,1,2009,17,China,5,0,2,British,7108460,126936.7857,113546
3,20,9,1,1,1,1,56,42,2,174.235,4,1,2009,17,China,5,0,2,German,7063485,126133.6607,112627
3,21,10,20,14,14,14,55,37,18,168.821,4,1,2009,17,China,5,0,2,Italian,7088816,128887.5636,116239
3,22,23,4,4,4,4,56,42,1,174.289,4,1,2009,17,China,5,0,2,Brazilian,7127189,127271.2321,112592
3,67,5,10,8,8,8,56,42,11,171.25,4,1,2009,17,China,5,0,2,Swiss,7139924,127498.6429,114590
4,1,1,5,4,4,4,57,13,6,205.269,4,1,2009,3,Bahrain,7,0,0,British,5530278,97022.42105,94915
4,2,2,14,19,19,19,56,52,16,203.11,4,1,2009,3,Bahrain,7,0,0,German,5532682,98797.89286,95924
4,3,3,9,9,9,9,57,37,15,203.339,4,1,2009,3,Bahrain,7,0,0,German,5566380,97655.78947,95816
4,4,4,7,8,8,8,57,29,14,203.539,4,1,2009,3,Bahrain,7,0,0,Spanish,5560957,97560.64912,95722
4,5,1,11,12,12,12,57,54,12,203.969,4,1,2009,3,Bahrain,7,0,0,Finnish,5586006,98000.10526,95520
4,6,3,12,,R,20,48,39,17,202.627,6,0,2009,3,Bahrain,7,0,0,Japanese,4749581,98949.60417,96153
4,7,5,20,13,13,13,57,30,9,204.205,4,1,2009,3,Bahrain,7,0,0,French,5586987,98017.31579,95410
4,8,6,10,6,6,6,57,42,11,204.016,4,1,2009,3,Bahrain,7,0,0,Finnish,5550239,97372.61404,95498
4,9,2,13,18,18,18,56,50,13,203.573,4,1,2009,3,Bahrain,7,0,0,Polish,5526822,98693.25,95706
4,10,7,2,7,7,7,57,6,2,206.01,4,1,2009,3,Bahrain,7,0,0,German,5551062,97387.05263,94574
4,12,4,15,10,10,10,57,37,10,204.138,4,1,2009,3,Bahrain,7,0,0,Brazilian,5573331,97777.73684,95441
4,13,6,8,14,14,14,56,41,7,204.946,4,1,2009,3,Bahrain,7,0,0,Brazilian,5515017,98482.44643,95065
4,15,7,1,3,3,3,57,10,1,206.049,4,1,2009,3,Bahrain,7,0,0,Italian,5517352,96795.64912,94556
4,16,10,19,16,16,16,56,28,18,202.488,4,1,2009,3,Bahrain,7,0,0,German,5524350,98649.10714,96219
4,17,9,18,11,11,11,57,50,8,204.73,4,1,2009,3,Bahrain,7,0,0,Australian,5575823,97821.45614,95165
4,18,23,4,1,1,1,57,11,3,205.979,4,1,2009,3,Bahrain,7,0,0,British,5508182,96634.77193,94588
4,20,9,3,2,2,2,57,16,4,205.614,4,1,2009,3,Bahrain,7,0,0,German,5515369,96760.85965,94756
4,21,10,17,15,15,15,56,9,19,202.158,4,1,2009,3,Bahrain,7,0,0,Italian,5521893,98605.23214,96376
4,22,23,6,5,5,5,57,25,5,205.3,4,1,2009,3,Bahrain,7,0,0,Brazilian,5545961,97297.5614,94901
4,67,5,16,17,17,17,56,38,20,201.954,4,1,2009,3,Bahrain,7,0,0,Swiss,5525906,98676.89286,96473
5,1,1,14,9,9,9,65,29,9,199.883,4,1,2009,4,Spain,109,0,0,British,5840216,89849.47692,83839
5,2,2,13,7,7,7,66,29,10,199.79,4,1,2009,4,Spain,109,0,0,German,5891514,89265.36364,83878
5,3,3,9,8,8,8,66,24,7,200.404,4,1,2009,4,Spain,109,0,0,German,5904413,89460.80303,83621
5,4,4,8,5,5,5,66,14,6,200.887,4,1,2009,4,Spain,109,0,0,Spanish,5882368,89126.78788,83420
5,5,1,18,,R,16,7,6,16,188.888,6,0,2009,4,Spain,109,0,0,Finnish,897995,128285,88719
5,6,3,11,13,13,13,65,38,13,199.132,4,1,2009,4,Spain,109,0,0,Japanese,5857113,90109.43077,84155
5,8,6,16,,R,15,17,16,15,198.342,6,0,2009,4,Spain,109,0,0,Finnish,1697924,99877.88235,84490
5,9,2,10,11,11,11,65,26,11,199.314,4,1,2009,4,Spain,109,0,0,Polish,5843811,89904.78462,84078
5,10,7,6,10,10,10,65,44,12,199.182,4,1,2009,4,Spain,109,0,0,German,5840990,89861.38462,84134
5,12,4,12,12,12,12,65,41,14,198.823,4,1,2009,4,Spain,109,0,0,Brazilian,5846107,89940.10769,84286
5,13,6,4,6,6,6,66,14,3,201.687,4,1,2009,4,Spain,109,0,0,Brazilian,5890029,89242.86364,83089
5,17,9,5,3,3,3,66,18,5,201.631,4,1,2009,4,Spain,109,0,0,Australian,5853126,88683.72727,83112
5,18,23,1,1,1,1,66,17,2,202.149,4,1,2009,4,Spain,109,0,0,British,5839202,88472.75758,82899
5,20,9,2,4,4,4,66,41,4,201.684,4,1,2009,4,Spain,109,0,0,German,5858143,88759.74242,83090
5,21,10,20,14,14,14,65,63,8,199.985,4,1,2009,4,Spain,109,0,0,Italian,5870740,90319.07692,83796
5,22,23,3,2,2,2,66,28,1,202.484,4,1,2009,4,Spain,109,0,0,Brazilian,5852258,88670.57576,82762
6,1,1,19,12,12,12,77,65,8,158.824,4,1,2009,6,Monaco,7,1,2,British,6086882,79050.41558,75706
6,2,2,16,11,11,11,77,49,15,157.654,4,1,2009,6,Monaco,7,1,2,German,6085243,79029.12987,76268
6,3,3,6,6,6,6,78,48,9,158.686,4,1,2009,6,Monaco,7,1,2,German,6077868,77921.38462,75772
6,4,4,9,7,7,7,78,64,4,159.53,4,1,2009,6,Monaco,7,1,2,Spanish,6082121,77975.91026,75371
6,5,1,7,,R,16,51,48,6,158.896,1,0,2009,6,Monaco,7,1,2,Finnish,3985544,78147.92157,75672
6,6,3,10,15,15,15,76,73,10,158.644,1,0,2009,6,Monaco,7,1,2,Japanese,5977442,78650.55263,75792
6,7,5,14,8,8,8,78,47,13,157.84,4,1,2009,6,Monaco,7,1,2,French,6107424,78300.30769,76178
6,8,6,2,3,3,3,78,47,5,159.507,4,1,2009,6,Monaco,7,1,2,Finnish,6057724,77663.12821,75382
6,9,2,17,,R,17,28,25,17,155.032,6,0,2009,6,Monaco,7,1,2,Polish,2263029,80822.46429,77558
6,10,7,20,10,10,10,77,72,12,158.073,4,1,2009,6,Monaco,7,1,2,German,6065998,78779.19481,76066
6,12,4,12,,R,19,10,7,19,153.144,2,0,2009,6,Monaco,7,1,2,Brazilian,816552,81655.2,78514
6,13,6,5,4,4,4,78,50,1,159.991,4,1,2009,6,Monaco,7,1,2,Brazilian,6059392,77684.51282,75154
6,15,7,18,13,13,13,77,57,11,158.187,4,1,2009,6,Monaco,7,1,2,Italian,6088869,79076.22078,76011
6,16,10,15,14,14,14,77,66,14,157.702,4,1,2009,6,Monaco,7,1,2,German,6091730,79113.37662,76245
6,17,9,8,5,5,5,78,45,3,159.636,4,1,2009,6,Monaco,7,1,2,Australian,6060012,77692.46154,75321
6,18,23,1,1,1,1,78,49,2,159.914,4,1,2009,6,Monaco,7,1,2,British,6044282,77490.79487,75190
6,20,9,4,,R,18,15,15,18,154.88,1,0,2009,6,Monaco,7,1,2,German,1230236,82015.73333,77634
6,21,10,13,9,9,9,78,74,16,157.343,4,1,2009,6,Monaco,7,1,2,Italian,6109322,78324.64103,76419
6,22,23,3,2,2,2,78,46,7,158.868,4,1,2009,6,Monaco,7,1,2,Brazilian,6051948,77589.07692,75685
6,67,5,11,,R,20,10,7,20,153.012,2,0,2009,6,Monaco,7,1,2,Swiss,816683,81668.3,78582
7,1,1,16,13,13,13,58,53,15,216.986,4,1,2009,5,Turkey,130,0,0,British,5265302,90781.06897,88562
7,2,2,11,11,11,11,58,43,10,217.842,4,1,2009,5,Turkey,130,0,0,German,5249175,90503.01724,88214
7,3,3,9,5,5,5,58,36,11,217.823,4,1,2009,5,Turkey,130,0,0,German,5216387,89937.7069,88222
7,4,4,8,10,10,10,58,57,13,217.411,4,1,2009,5,Turkey,130,0,0,Spanish,5247268,90470.13793,88389
7,5,1,14,14,14,14,57,41,18,215.497,4,1,2009,5,Turkey,130,0,0,Finnish,5193885,91120.78947,89174
7,6,3,12,12,12,12,58,58,6,218.402,4,1,2009,5,Turkey,130,0,0,Japanese,5251224,90538.34483,87988
7,7,5,20,18,18,18,57,53,17,215.865,4,1,2009,5,Turkey,130,0,0,French,5208471,91376.68421,89022
7,8,6,6,9,9,9,58,58,8,218.221,4,1,2009,5,Turkey,130,0,0,Finnish,5235094,90260.24138,88061
7,9,2,10,7,7,7,58,58,7,218.352,4,1,2009,5,Turkey,130,0,0,Polish,5231095,90191.2931,88008
7,10,7,13,8,8,8,58,56,5,218.663,4,1,2009,5,Turkey,130,0,0,German,5231807,90203.56897,87883
7,12,4,17,16,16,16,57,45,12,217.532,4,1,2009,5,Turkey,130,0,0,Brazilian,5200349,91234.19298,88340
7,13,6,7,6,6,6,58,41,9,217.936,4,1,2009,5,Turkey,130,0,0,Brazilian,5224844,90083.51724,88176
7,15,7,5,4,4,4,58,40,4,218.7,4,1,2009,5,Turkey,130,0,0,Italian,5212691,89873.98276,87868
7,16,10,15,17,17,17,57,55,19,215.454,4,1,2009,5,Turkey,130,0,0,German,5206214,91337.08772,89192
7,17,9,4,2,2,2,58,42,3,218.847,4,1,2009,5,Turkey,130,0,0,Australian,5191562,89509.68966,87809
7,18,23,2,1,1,1,58,40,1,219.422,4,1,2009,5,Turkey,130,0,0,British,5184848,89393.93103,87579
7,20,9,1,3,3,3,58,51,2,219.314,4,1,2009,5,Turkey,130,0,0,German,5192309,89522.56897,87622
7,21,10,19,,R,20,4,3,20,204.281,6,0,2009,5,Turkey,130,0,0,Italian,390696,97674,94070
7,22,23,3,,R,19,47,37,14,217.075,6,0,2009,5,Turkey,130,0,0,Brazilian,4286463,91201.34043,88526
7,67,5,18,15,15,15,57,57,16,216.835,4,1,2009,5,Turkey,130,0,0,Swiss,5196808,91172.07018,88624
8,1,1,18,16,16,16,59,24,18,224.128,4,1,2009,9,UK,153,1,0,British,5032322,85293.59322,82576
8,2,2,15,15,15,15,59,59,13,225.823,4,1,2009,9,UK,153,1,0,German,5005425,84837.71186,81956
8,3,3,7,5,5,5,60,17,3,228.336,4,1,2009,9,UK,153,1,0,German,5015243,83587.38333,81054
