Track,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-06,0,",,E",,,49,"H,,S",62,",,E",36,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-07,0,",,E",,,52,"H,,S",63,",,E",49,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-08,0,",,E",,,46,"H,,S",62,",,E",35,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-09,0,",,E",,,46,"H,,S",58,",,E",37,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-10,0,",,E",,,47,"H,,S",57,",,E",36,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-11,0,",,E",,,46,"H,,S",57,",,E",36,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-12,0,",,E",,,46,"H,,S",57,",,E",36,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-13,0,",,E",,,44,"H,,S",58,",,E",35,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-14,0,",,E",,,44,"H,,S",58,",,E",34,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-15,0,",,E",,,42,"H,,S",54,",,E",33,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-16,0,",,E",,,43,"H,,S",57,",,E",31,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-17,0,",,E",,,49,"H,,S",54,",,E",41,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-18,0,",,E",,,48,"H,,S",57,",,E",43,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-19,0,",,E",,,49,"H,,S",56,",,E",45,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-20,0,",,E",,,53,"H,,S",63,",,E",45,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-21,0,",,E",,,50,"H,,S",61,",,E",40,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-22,0,",,E",,,50,"H,,S",62,",,E",43,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-23,0,",,E",,,53,"H,,S",60,",,E",46,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-24,0,",,E",,,54,"H,,S",61,",,E",48,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-25,0,",,E",,,53,"H,,S",60,",,E",50,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-26,0,",,E",,,54,"H,,S",59,",,E",49,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-27,0,",,E",,,57,"H,,S",65,",,E",51,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-28,0,",,E",,,55,"H,,S",64,",,E",46,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-29,0,",,E",,,55,"H,,S",64,",,E",47,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-01,0,",,E",,,58,"H,,S",67,",,E",49,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-02,0,",,E",,,60,"H,,S",70,",,E",52,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-03,0,",,E",,,56,"H,,S",67,",,E",44,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-04,0,",,E",,,48,"H,,S",55,",,E",45,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-05,0,",,E",,,45,"H,,S",52,",,E",41,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-06,0,",,E",,,42,"H,,S",52,",,E",34,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-07,0,",,E",,,45,"H,,S",50,",,E",40,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-08,0,",,E",,,50,"H,,S",62,",,E",39,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-09,0.16,",,E",,,50,"H,,S",57,",,E",41,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-10,0.04,",,E",,,50,"H,,S",54,",,E",46,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-11,0,",,E",,,53,"H,,S",58,",,E",45,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-12,0,",,E",,,57,"H,,S",64,",,E",52,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-13,0,",,E",,,55,"H,,S",63,",,E",48,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-14,0,",,E",,,56,"H,,S",71,",,E",43,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-15,0,",,E",,,56,"H,,S",65,",,E",49,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-16,0,",,E",,,56,"H,,S",63,",,E",48,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-17,0,",,E",,,56,"H,,S",64,",,E",50,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-18,0,",,E",,,51,"H,,S",58,",,E",46,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-19,0,",,E",,,47,"H,,S",59,",,E",38,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-20,0,",,E",,,47,"H,,S",56,",,E",38,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-21,0.08,",,E",,,48,"H,,S",55,",,E",41,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-22,0,",,E",,,49,"H,,S",56,",,E",42,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-23,0.01,",,E",,,45,"H,,S",52,",,E",40,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-24,0.01,",,E",,,42,"H,,S",51,",,E",33,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-25,0,",,E",,,49,"H,,S",55,",,E",43,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-03-26,0.01,",,E",,,50,"H,,S",58,",,E",40,",,E"
